order_id,customer_id,employee_id,order_date,required_date,shipped_date,ship_via,freight,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country,product_id,unit_price,quantity,discount,_sdc_extracted_at,_sdc_received_at,_sdc_batched_at,_sdc_deleted_at,_sdc_sequence,_sdc_table_version,_sdc_sync_started_at
10410,BOTTM,3,1997-01-10,1997-02-07,1997-01-15,3,2.4,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,59,44.0,16,0.0,2025-02-04 06:32:56.850875,2025-02-04 06:32:57.279827,2025-02-04 06:32:57.090344,,1738650777280,,1738650776894
10411,BOTTM,9,1997-01-10,1997-02-07,1997-01-21,3,23.65,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,59,44.0,9,0.2,2025-02-04 06:32:56.851263,2025-02-04 06:32:57.280907,2025-02-04 06:32:57.090344,,1738650777281,,1738650776894
10412,WARTH,8,1997-01-13,1997-02-10,1997-01-15,2,3.77,Wartian Herkku,Torikatu 38,Oulu,"",90110,Finland,14,18.6,20,0.1,2025-02-04 06:32:56.851392,2025-02-04 06:32:57.281236,2025-02-04 06:32:57.090344,,1738650777281,,1738650776894
10413,LAMAI,3,1997-01-14,1997-02-11,1997-01-16,2,95.66,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,"",31000,France,76,14.4,14,0.0,2025-02-04 06:32:56.851794,2025-02-04 06:32:57.282347,2025-02-04 06:32:57.090344,,1738650777282,,1738650776894
10414,FAMIA,2,1997-01-14,1997-02-11,1997-01-17,3,21.48,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil,33,2.0,50,0.0,2025-02-04 06:32:56.852053,2025-02-04 06:32:57.283033,2025-02-04 06:32:57.090344,,1738650777283,,1738650776894
10415,HUNGC,3,1997-01-15,1997-02-12,1997-01-24,1,0.2,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA,33,2.0,20,0.0,2025-02-04 06:32:56.852314,2025-02-04 06:32:57.283695,2025-02-04 06:32:57.090344,,1738650777284,,1738650776894
10416,WARTH,8,1997-01-16,1997-02-13,1997-01-27,3,22.72,Wartian Herkku,Torikatu 38,Oulu,"",90110,Finland,57,15.6,20,0.0,2025-02-04 06:32:56.852727,2025-02-04 06:32:57.284698,2025-02-04 06:32:57.090344,,1738650777285,,1738650776894
10417,SIMOB,4,1997-01-16,1997-02-13,1997-01-28,3,70.29,Simons bistro,Vinbæltet 34,Kobenhavn,"",1734,Denmark,77,10.4,35,0.0,2025-02-04 06:32:56.853247,2025-02-04 06:32:57.28601,2025-02-04 06:32:57.090344,,1738650777286,,1738650776894
10418,QUICK,4,1997-01-17,1997-02-14,1997-01-24,1,17.55,QUICK-Stop,Taucherstraße 10,Cunewalde,"",01307,Germany,74,8.0,15,0.0,2025-02-04 06:32:56.853778,2025-02-04 06:32:57.287418,2025-02-04 06:32:57.090344,,1738650777287,,1738650776894
10419,RICSU,4,1997-01-20,1997-02-17,1997-01-30,2,137.35,Richter Supermarkt,Starenweg 5,Genève,"",1204,Switzerland,69,28.8,20,0.05,2025-02-04 06:32:56.854037,2025-02-04 06:32:57.288087,2025-02-04 06:32:57.090344,,1738650777288,,1738650776894
10420,WELLI,3,1997-01-21,1997-02-18,1997-01-27,1,44.12,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,73,12.0,20,0.1,2025-02-04 06:32:56.854574,2025-02-04 06:32:57.289512,2025-02-04 06:32:57.090344,,1738650777290,,1738650776894
10421,QUEDE,8,1997-01-21,1997-03-04,1997-01-27,1,99.23,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,77,10.4,10,0.15,2025-02-04 06:32:56.855094,2025-02-04 06:32:57.290981,2025-02-04 06:32:57.090344,,1738650777291,,1738650776894
10422,FRANS,2,1997-01-22,1997-02-19,1997-01-31,1,3.02,Franchi S.p.A.,Via Monte Bianco 34,Torino,"",10100,Italy,26,24.9,2,0.0,2025-02-04 06:32:56.855227,2025-02-04 06:32:57.291305,2025-02-04 06:32:57.090344,,1738650777291,,1738650776894
10423,GOURL,6,1997-01-23,1997-02-06,1997-02-24,3,24.5,Gourmet Lanchonetes,"Av. Brasil, 442",Campinas,SP,04876-786,Brazil,59,44.0,20,0.0,2025-02-04 06:32:56.855488,2025-02-04 06:32:57.292079,2025-02-04 06:32:57.090344,,1738650777292,,1738650776894
10424,MEREP,7,1997-01-23,1997-02-20,1997-01-27,2,370.61,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,68,10.0,30,0.2,2025-02-04 06:32:56.855877,2025-02-04 06:32:57.293112,2025-02-04 06:32:57.090344,,1738650777293,,1738650776894
10425,LAMAI,6,1997-01-24,1997-02-21,1997-02-14,2,7.93,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,"",31000,France,76,14.4,20,0.25,2025-02-04 06:32:56.856241,2025-02-04 06:32:57.293781,2025-02-04 06:32:57.090344,,1738650777294,,1738650776894
10426,GALED,4,1997-01-27,1997-02-24,1997-02-06,1,18.69,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona,"",8022,Spain,64,26.6,7,0.0,2025-02-04 06:32:56.856586,2025-02-04 06:32:57.294425,2025-02-04 06:32:57.090344,,1738650777294,,1738650776894
10427,PICCO,4,1997-01-27,1997-02-24,1997-03-03,2,31.29,Piccolo und mehr,Geislweg 14,Salzburg,"",5020,Austria,14,18.6,35,0.0,2025-02-04 06:32:56.856733,2025-02-04 06:32:57.294773,2025-02-04 06:32:57.090344,,1738650777295,,1738650776894
10428,REGGC,7,1997-01-28,1997-02-25,1997-02-04,1,11.09,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,"",42100,Italy,46,9.6,20,0.0,2025-02-04 06:32:56.856879,2025-02-04 06:32:57.295094,2025-02-04 06:32:57.090344,,1738650777295,,1738650776894
10429,HUNGO,3,1997-01-29,1997-03-12,1997-02-07,2,56.63,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,"",Ireland,63,35.1,35,0.25,2025-02-04 06:32:56.857199,2025-02-04 06:32:57.295763,2025-02-04 06:32:57.090344,,1738650777296,,1738650776894
10430,ERNSH,4,1997-01-30,1997-02-13,1997-02-03,1,458.78,Ernst Handel,Kirchgasse 6,Graz,"",8010,Austria,59,44.0,70,0.2,2025-02-04 06:32:56.85775,2025-02-04 06:32:57.297154,2025-02-04 06:32:57.090344,,1738650777297,,1738650776894
10431,BOTTM,4,1997-01-30,1997-02-13,1997-02-07,2,44.17,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,47,7.6,30,0.25,2025-02-04 06:32:56.858183,2025-02-04 06:32:57.298149,2025-02-04 06:32:57.090344,,1738650777298,,1738650776894
10432,SPLIR,3,1997-01-31,1997-02-14,1997-02-07,2,4.34,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA,54,5.9,40,0.0,2025-02-04 06:32:56.85845,2025-02-04 06:32:57.298818,2025-02-04 06:32:57.090344,,1738650777299,,1738650776894
10433,PRINI,3,1997-02-03,1997-03-03,1997-03-04,3,73.83,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,"",1756,Portugal,56,30.4,28,0.0,2025-02-04 06:32:56.858616,2025-02-04 06:32:57.299164,2025-02-04 06:32:57.090344,,1738650777299,,1738650776894
10434,FOLKO,3,1997-02-03,1997-03-03,1997-02-13,2,17.92,Folk och fä HB,Åkergatan 24,Bräcke,"",S-844 67,Sweden,76,14.4,18,0.15,2025-02-04 06:32:56.858922,2025-02-04 06:32:57.299897,2025-02-04 06:32:57.090344,,1738650777300,,1738650776894
10435,CONSH,8,1997-02-04,1997-03-18,1997-02-07,2,9.21,Consolidated Holdings,Berkeley Gardens 12  Brewery,London,"",WX1 6LT,UK,72,27.8,10,0.0,2025-02-04 06:32:56.859324,2025-02-04 06:32:57.300882,2025-02-04 06:32:57.090344,,1738650777301,,1738650776894
10436,BLONP,3,1997-02-05,1997-03-05,1997-02-11,2,156.66,Blondel père et fils,"24, place Kléber",Strasbourg,"",67000,France,75,6.2,24,0.1,2025-02-04 06:32:56.859986,2025-02-04 06:32:57.302228,2025-02-04 06:32:57.090344,,1738650777302,,1738650776894
10437,WARTH,8,1997-02-05,1997-03-05,1997-02-12,1,19.97,Wartian Herkku,Torikatu 38,Oulu,"",90110,Finland,53,26.2,15,0.0,2025-02-04 06:32:56.860144,2025-02-04 06:32:57.302609,2025-02-04 06:32:57.090344,,1738650777303,,1738650776894
10438,TOMSP,3,1997-02-06,1997-03-06,1997-02-14,2,8.24,Toms Spezialitäten,Luisenstr. 48,Münster,"",44087,Germany,57,15.6,15,0.2,2025-02-04 06:32:56.86055,2025-02-04 06:32:57.303605,2025-02-04 06:32:57.090344,,1738650777304,,1738650776894
10439,MEREP,6,1997-02-07,1997-03-07,1997-02-10,3,4.07,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,74,8.0,30,0.0,2025-02-04 06:32:56.861171,2025-02-04 06:32:57.305043,2025-02-04 06:32:57.090344,,1738650777305,,1738650776894
10440,SAVEA,4,1997-02-10,1997-03-10,1997-02-28,2,86.53,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA,61,22.8,90,0.15,2025-02-04 06:32:56.861723,2025-02-04 06:32:57.306389,2025-02-04 06:32:57.090344,,1738650777306,,1738650776894
10441,OLDWO,3,1997-02-10,1997-03-24,1997-03-14,2,73.02,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA,27,35.1,50,0.0,2025-02-04 06:32:56.861858,2025-02-04 06:32:57.306739,2025-02-04 06:32:57.090344,,1738650777307,,1738650776894
10442,ERNSH,3,1997-02-11,1997-03-11,1997-02-18,2,47.94,Ernst Handel,Kirchgasse 6,Graz,"",8010,Austria,66,13.6,60,0.0,2025-02-04 06:32:56.862255,2025-02-04 06:32:57.307839,2025-02-04 06:32:57.090344,,1738650777308,,1738650776894
10443,REGGC,8,1997-02-12,1997-03-12,1997-02-14,1,13.95,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,"",42100,Italy,28,36.4,12,0.0,2025-02-04 06:32:56.862537,2025-02-04 06:32:57.308491,2025-02-04 06:32:57.090344,,1738650777308,,1738650776894
10444,BERGS,3,1997-02-12,1997-03-12,1997-02-21,3,3.5,Berglunds snabbköp,Berguvsvägen  8,Luleå,"",S-958 22,Sweden,41,7.7,30,0.0,2025-02-04 06:32:56.863102,2025-02-04 06:32:57.309953,2025-02-04 06:32:57.090344,,1738650777310,,1738650776894
10445,BERGS,3,1997-02-13,1997-03-13,1997-02-20,1,9.3,Berglunds snabbköp,Berguvsvägen  8,Luleå,"",S-958 22,Sweden,54,5.9,15,0.0,2025-02-04 06:32:56.863366,2025-02-04 06:32:57.310636,2025-02-04 06:32:57.090344,,1738650777311,,1738650776894
10446,TOMSP,6,1997-02-14,1997-03-14,1997-02-19,1,14.68,Toms Spezialitäten,Luisenstr. 48,Münster,"",44087,Germany,52,5.6,15,0.1,2025-02-04 06:32:56.863937,2025-02-04 06:32:57.311936,2025-02-04 06:32:57.090344,,1738650777312,,1738650776894
10447,RICAR,4,1997-02-14,1997-03-14,1997-03-07,2,68.66,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,71,17.2,2,0.0,2025-02-04 06:32:56.86434,2025-02-04 06:32:57.312959,2025-02-04 06:32:57.090344,,1738650777313,,1738650776894
10448,RANCH,4,1997-02-17,1997-03-17,1997-02-24,2,38.82,Rancho grande,Av. del Libertador 900,Buenos Aires,"",1010,Argentina,40,14.7,20,0.0,2025-02-04 06:32:56.86461,2025-02-04 06:32:57.313682,2025-02-04 06:32:57.090344,,1738650777314,,1738650776894
10449,BLONP,3,1997-02-18,1997-03-18,1997-02-27,2,53.3,Blondel père et fils,"24, place Kléber",Strasbourg,"",67000,France,62,39.4,35,0.0,2025-02-04 06:32:56.865006,2025-02-04 06:32:57.314635,2025-02-04 06:32:57.090344,,1738650777315,,1738650776894
10450,VICTE,8,1997-02-19,1997-03-19,1997-03-11,2,7.23,Victuailles en stock,"2, rue du Commerce",Lyon,"",69004,France,54,5.9,6,0.2,2025-02-04 06:32:56.86527,2025-02-04 06:32:57.315318,2025-02-04 06:32:57.090344,,1738650777315,,1738650776894
10451,QUICK,4,1997-02-19,1997-03-05,1997-03-12,3,189.09,QUICK-Stop,Taucherstraße 10,Cunewalde,"",01307,Germany,77,10.4,55,0.1,2025-02-04 06:32:56.865837,2025-02-04 06:32:57.316591,2025-02-04 06:32:57.090344,,1738650777317,,1738650776894
10452,SAVEA,8,1997-02-20,1997-03-20,1997-02-26,1,140.26,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA,44,15.5,100,0.05,2025-02-04 06:32:56.8661,2025-02-04 06:32:57.317274,2025-02-04 06:32:57.090344,,1738650777317,,1738650776894
10453,AROUT,1,1997-02-21,1997-03-21,1997-02-26,2,25.36,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,70,12.0,25,0.1,2025-02-04 06:32:56.866381,2025-02-04 06:32:57.317944,2025-02-04 06:32:57.090344,,1738650777318,,1738650776894
10454,LAMAI,4,1997-02-21,1997-03-21,1997-02-25,3,2.74,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,"",31000,France,46,9.6,10,0.2,2025-02-04 06:32:56.866776,2025-02-04 06:32:57.319064,2025-02-04 06:32:57.090344,,1738650777319,,1738650776894
10455,WARTH,8,1997-02-24,1997-04-07,1997-03-03,2,180.45,Wartian Herkku,Torikatu 38,Oulu,"",90110,Finland,71,17.2,30,0.0,2025-02-04 06:32:56.867335,2025-02-04 06:32:57.320553,2025-02-04 06:32:57.090344,,1738650777321,,1738650776894
10456,KOENE,8,1997-02-25,1997-04-08,1997-02-28,2,8.12,Königlich Essen,Maubelstr. 90,Brandenburg,"",14776,Germany,49,16.0,21,0.15,2025-02-04 06:32:56.867681,2025-02-04 06:32:57.321305,2025-02-04 06:32:57.090344,,1738650777321,,1738650776894
10457,KOENE,2,1997-02-25,1997-03-25,1997-03-03,1,11.57,Königlich Essen,Maubelstr. 90,Brandenburg,"",14776,Germany,59,44.0,36,0.0,2025-02-04 06:32:56.867813,2025-02-04 06:32:57.321662,2025-02-04 06:32:57.090344,,1738650777322,,1738650776894
10458,SUPRD,7,1997-02-26,1997-03-26,1997-03-04,3,147.06,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,"",B-6000,Belgium,71,17.2,50,0.0,2025-02-04 06:32:56.868496,2025-02-04 06:32:57.323344,2025-02-04 06:32:57.090344,,1738650777323,,1738650776894
10459,VICTE,4,1997-02-27,1997-03-27,1997-02-28,2,25.09,Victuailles en stock,"2, rue du Commerce",Lyon,"",69004,France,72,27.8,40,0.0,2025-02-04 06:32:56.868899,2025-02-04 06:32:57.324371,2025-02-04 06:32:57.090344,,1738650777324,,1738650776894
10460,FOLKO,8,1997-02-28,1997-03-28,1997-03-03,1,16.27,Folk och fä HB,Åkergatan 24,Bräcke,"",S-844 67,Sweden,75,6.2,4,0.25,2025-02-04 06:32:56.869238,2025-02-04 06:32:57.325067,2025-02-04 06:32:57.090344,,1738650777325,,1738650776894
10461,LILAS,1,1997-02-28,1997-03-28,1997-03-05,3,148.61,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,55,19.2,60,0.25,2025-02-04 06:32:56.869804,2025-02-04 06:32:57.326059,2025-02-04 06:32:57.090344,,1738650777326,,1738650776894
10462,CONSH,2,1997-03-03,1997-03-31,1997-03-18,1,6.17,Consolidated Holdings,Berkeley Gardens 12  Brewery,London,"",WX1 6LT,UK,23,7.2,21,0.0,2025-02-04 06:32:56.870158,2025-02-04 06:32:57.326755,2025-02-04 06:32:57.090344,,1738650777327,,1738650776894
10463,SUPRD,5,1997-03-04,1997-04-01,1997-03-06,3,14.78,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,"",B-6000,Belgium,42,11.2,50,0.0,2025-02-04 06:32:56.870491,2025-02-04 06:32:57.327426,2025-02-04 06:32:57.090344,,1738650777327,,1738650776894
10464,FURIB,4,1997-03-04,1997-04-01,1997-03-14,2,89.0,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,"",1675,Portugal,60,27.2,20,0.0,2025-02-04 06:32:56.871382,2025-02-04 06:32:57.328744,2025-02-04 06:32:57.090344,,1738650777329,,1738650776894
10465,VAFFE,1,1997-03-05,1997-04-02,1997-03-14,3,145.04,Vaffeljernet,Smagsloget 45,Århus,"",8200,Denmark,50,13.0,25,0.0,2025-02-04 06:32:56.872027,2025-02-04 06:32:57.330559,2025-02-04 06:32:57.090344,,1738650777331,,1738650776894
10466,COMMI,4,1997-03-06,1997-04-03,1997-03-13,1,11.93,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil,46,9.6,5,0.0,2025-02-04 06:32:56.872311,2025-02-04 06:32:57.331256,2025-02-04 06:32:57.090344,,1738650777331,,1738650776894
10467,MAGAA,8,1997-03-06,1997-04-03,1997-03-11,2,4.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,"",24100,Italy,25,11.2,12,0.0,2025-02-04 06:32:56.872579,2025-02-04 06:32:57.331953,2025-02-04 06:32:57.090344,,1738650777332,,1738650776894
10468,KOENE,3,1997-03-07,1997-04-04,1997-03-12,3,44.12,Königlich Essen,Maubelstr. 90,Brandenburg,"",14776,Germany,43,36.8,15,0.0,2025-02-04 06:32:56.872919,2025-02-04 06:32:57.332592,2025-02-04 06:32:57.090344,,1738650777333,,1738650776894
10469,WHITC,1,1997-03-10,1997-04-07,1997-03-14,1,60.18,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,44,15.5,2,0.15,2025-02-04 06:32:56.873345,2025-02-04 06:32:57.333574,2025-02-04 06:32:57.090344,,1738650777334,,1738650776894
10470,BONAP,4,1997-03-11,1997-04-08,1997-03-14,2,64.56,Bon app',"12, rue des Bouchers",Marseille,"",13008,France,64,26.6,8,0.0,2025-02-04 06:32:56.873948,2025-02-04 06:32:57.334581,2025-02-04 06:32:57.090344,,1738650777335,,1738650776894
10471,BSBEV,2,1997-03-11,1997-04-08,1997-03-18,3,45.59,B's Beverages,Fauntleroy Circus,London,"",EC2 5NT,UK,56,30.4,20,0.0,2025-02-04 06:32:56.874278,2025-02-04 06:32:57.335315,2025-02-04 06:32:57.090344,,1738650777335,,1738650776894
10472,SEVES,8,1997-03-12,1997-04-09,1997-03-19,1,4.2,Seven Seas Imports,90 Wadhurst Rd.,London,"",OX15 4NB,UK,51,42.4,18,0.0,2025-02-04 06:32:56.874556,2025-02-04 06:32:57.335998,2025-02-04 06:32:57.090344,,1738650777336,,1738650776894
10473,ISLAT,1,1997-03-13,1997-03-27,1997-03-21,3,16.37,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,71,17.2,12,0.0,2025-02-04 06:32:56.874855,2025-02-04 06:32:57.336696,2025-02-04 06:32:57.090344,,1738650777337,,1738650776894
10474,PERIC,5,1997-03-13,1997-04-10,1997-03-21,2,83.49,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,"",05033,Mexico,75,6.2,10,0.0,2025-02-04 06:32:56.875414,2025-02-04 06:32:57.338001,2025-02-04 06:32:57.090344,,1738650777338,,1738650776894
10475,SUPRD,9,1997-03-14,1997-04-11,1997-04-04,1,68.52,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,"",B-6000,Belgium,76,14.4,42,0.15,2025-02-04 06:32:56.875832,2025-02-04 06:32:57.339,2025-02-04 06:32:57.090344,,1738650777339,,1738650776894
10476,HILAA,8,1997-03-17,1997-04-14,1997-03-24,3,4.41,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,70,12.0,12,0.0,2025-02-04 06:32:56.876108,2025-02-04 06:32:57.339693,2025-02-04 06:32:57.090344,,1738650777340,,1738650776894
10477,PRINI,5,1997-03-17,1997-04-14,1997-03-25,2,13.02,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,"",1756,Portugal,39,14.4,20,0.25,2025-02-04 06:32:56.876585,2025-02-04 06:32:57.340721,2025-02-04 06:32:57.090344,,1738650777341,,1738650776894
10478,VICTE,2,1997-03-18,1997-04-01,1997-03-26,3,4.81,Victuailles en stock,"2, rue du Commerce",Lyon,"",69004,France,10,24.8,20,0.05,2025-02-04 06:32:56.876744,2025-02-04 06:32:57.341125,2025-02-04 06:32:57.090344,,1738650777341,,1738650776894
10479,RATTC,3,1997-03-19,1997-04-16,1997-03-21,3,708.95,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,64,26.6,30,0.0,2025-02-04 06:32:56.87735,2025-02-04 06:32:57.342484,2025-02-04 06:32:57.090344,,1738650777342,,1738650776894
10480,FOLIG,6,1997-03-20,1997-04-17,1997-03-24,2,1.35,Folies gourmandes,"184, chaussée de Tournai",Lille,"",59000,France,59,44.0,12,0.0,2025-02-04 06:32:56.87765,2025-02-04 06:32:57.343186,2025-02-04 06:32:57.090344,,1738650777343,,1738650776894
10481,RICAR,8,1997-03-20,1997-04-17,1997-03-25,2,64.33,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,60,27.2,40,0.0,2025-02-04 06:32:56.877924,2025-02-04 06:32:57.343809,2025-02-04 06:32:57.090344,,1738650777344,,1738650776894
10482,LAZYK,1,1997-03-21,1997-04-18,1997-04-10,3,7.48,Lazy K Kountry Store,12 Orchestra Terrace,Walla Walla,WA,99362,USA,40,14.7,10,0.0,2025-02-04 06:32:56.878061,2025-02-04 06:32:57.344171,2025-02-04 06:32:57.090344,,1738650777344,,1738650776894
10483,WHITC,7,1997-03-24,1997-04-21,1997-04-25,2,15.28,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,77,10.4,30,0.05,2025-02-04 06:32:56.878371,2025-02-04 06:32:57.34481,2025-02-04 06:32:57.090344,,1738650777345,,1738650776894
10484,BSBEV,3,1997-03-24,1997-04-21,1997-04-01,3,6.88,B's Beverages,Fauntleroy Circus,London,"",EC2 5NT,UK,51,42.4,3,0.0,2025-02-04 06:32:56.878886,2025-02-04 06:32:57.345883,2025-02-04 06:32:57.090344,,1738650777346,,1738650776894
10485,LINOD,4,1997-03-25,1997-04-08,1997-03-31,2,64.45,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,70,12.0,60,0.1,2025-02-04 06:32:56.879793,2025-02-04 06:32:57.347217,2025-02-04 06:32:57.090344,,1738650777347,,1738650776894
10486,HILAA,1,1997-03-26,1997-04-23,1997-04-02,2,30.53,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,74,8.0,16,0.0,2025-02-04 06:32:56.880304,2025-02-04 06:32:57.348176,2025-02-04 06:32:57.090344,,1738650777348,,1738650776894
10487,QUEEN,2,1997-03-26,1997-04-23,1997-03-28,2,71.07,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil,54,5.9,24,0.25,2025-02-04 06:32:56.880722,2025-02-04 06:32:57.349214,2025-02-04 06:32:57.090344,,1738650777349,,1738650776894
10488,FRANK,8,1997-03-27,1997-04-24,1997-04-02,2,4.93,Frankenversand,Berliner Platz 43,München,"",80805,Germany,73,12.0,20,0.2,2025-02-04 06:32:56.881057,2025-02-04 06:32:57.349924,2025-02-04 06:32:57.090344,,1738650777350,,1738650776894
10489,PICCO,6,1997-03-28,1997-04-25,1997-04-09,2,5.29,Piccolo und mehr,Geislweg 14,Salzburg,"",5020,Austria,16,13.9,18,0.0,2025-02-04 06:32:56.881526,2025-02-04 06:32:57.350656,2025-02-04 06:32:57.090344,,1738650777351,,1738650776894
